"","country","neighbor1","neighbor2","neighbor3","neighbor4","neighbor5","neighbor6","neighbor7","neighbor8","neighbor9","neighbor10","neighbor11","neighbor12","neighbor13","neighbor14","boundaries.data.ISO_N3","boundaries.data.WB_A3"
"136","Norway","Finland","Russia","Sweden","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-99","-99"
"137","Nepal","China","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","524","NPL"
"138","Nauru","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","520","-99"
"139","New Zealand","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-99","-99"
"140","Oman","United Arab Emirates","Saudi Arabia","Yemen","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","512","OMN"
"141","Pakistan","Afghanistan","China","India","Iran","Kashmir","NA","NA","NA","NA","NA","NA","NA","NA","NA","586","PAK"
"142","Panama","Colombia","Costa Rica","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","591","PAN"
"143","Peru","Bolivia","Brazil","Chile","Colombia","Ecuador","NA","NA","NA","NA","NA","NA","NA","NA","NA","604","PER"
"144","Spratly Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-99","-99"
"145","Philippines","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","608","PHL"
"146","Palau","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","585","PLW"
"147","Papua New Guinea","Indonesia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","598","PNG"
"148","Poland","Belarus","Czech Republic","Germany","Lithuania","Russia","Slovakia","Ukraine","NA","NA","NA","NA","NA","NA","NA","616","POL"
"149","North Korea","China","South Korea","Russia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","408","PRK"
"150","Portugal","Spain","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","620","PRT"
"151","Paraguay","Bolivia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","600","PRY"
